gender;maritalStatus;age;flagResidencialPhone;areaCodeResidencialPhone;bestPaymentDay;residenceType;monthsInResidence;flagResidenceTown_WorkingTown;monthsInTheJob;personalNetIncome;BAD
M;C;22;Y;31;8;P;216;Y;12;360.0;0
M;C;24;Y;5;8;P;72;Y;84;900.0;1
M;S;28;Y;31;12;A;108;Y;24;185.0;0
F;S;38;Y;31;20;A;156;N;72;400.0;0
F;C;27;Y;31;8;P;48;N;0;220.0;1
F;S;19;Y;31;12;P;12;N;24;420.0;1
M;S;18;Y;5;3;P;216;N;12;180.0;0
F;C;20;Y;31;18;O;48;N;48;270.0;0
M;S;19;N;50;12;P;60;N;12;177.0;0
F;C;20;N;50;28;P;12;N;12;100.0;1
F;S;35;Y;31;20;C;84;Y;144;480.0;0
F;C;30;Y;31;18;P;48;N;48;876.0;0
F;C;38;Y;31;16;P;240;Y;12;243.0;0
M;S;28;Y;31;22;P;96;N;12;600.0;1
F;S;32;Y;50;8;P;240;N;60;600.0;0
F;C;27;Y;31;18;P;84;N;0;110.0;0
M;S;35;Y;31;12;O;108;Y;12;360.0;0
F;C;38;Y;5;18;P;384;Y;0;180.0;0
F;S;21;Y;31;1;O;252;Y;12;300.0;0
F;C;37;N;50;28;P;132;Y;72;400.0;0
F;S;32;Y;31;8;P;48;Y;36;907.0;0
F;S;57;Y;31;20;P;108;N;0;193.0;0
F;S;22;Y;31;6;P;240;Y;12;310.0;0
M;S;36;Y;31;8;P;120;N;72;289.0;0
F;O;21;Y;31;8;C;240;Y;12;320.0;0
M;S;22;Y;31;20;C;264;N;72;450.0;0
F;S;23;Y;31;25;P;276;N;48;380.0;0
F;V;55;Y;31;18;P;96;N;0;891.0;0
F;V;64;Y;31;12;P;360;N;12;445.0;0
F;O;20;N;50;20;P;12;N;12;320.0;1
F;C;43;Y;31;25;P;300;Y;60;350.0;0
F;C;25;N;31;12;P;12;N;0;380.0;1
M;V;52;N;31;18;P;60;N;24;213.0;0
M;S;25;Y;31;8;P;240;Y;36;750.0;0
F;S;22;Y;50;18;P;72;Y;0;400.0;1
M;S;21;Y;31;1;P;252;Y;60;227.0;0
M;O;19;N;50;12;C;228;N;12;300.0;1
F;S;48;Y;31;23;P;144;N;0;0.0;0
F;C;62;Y;31;12;P;360;N;0;180.0;0
M;C;24;N;31;8;P;24;N;0;411.0;0
F;C;20;Y;31;18;P;168;Y;120;411.0;0
F;C;28;Y;31;12;P;24;Y;72;700.0;0
F;V;36;N;31;28;P;384;Y;60;800.0;1
M;S;28;Y;31;12;P;336;Y;12;409.0;0
F;C;34;Y;31;8;P;120;Y;0;300.0;0
M;S;19;Y;5;8;P;0;N;24;919.0;0
F;S;37;N;50;12;P;444;N;12;217.0;0
M;S;20;Y;31;12;P;240;Y;12;382.0;0
F;C;60;Y;31;8;P;108;N;180;778.0;0
F;V;57;Y;31;28;P;456;N;120;284.0;0
F;S;60;Y;31;12;P;216;N;0;600.0;0
F;S;19;Y;31;12;P;228;Y;24;180.0;1
M;S;22;N;5;20;P;252;N;12;200.0;0
F;S;38;Y;31;18;P;240;Y;12;305.0;0
M;S;24;Y;31;18;P;0;Y;0;497.0;0
F;S;27;N;31;12;A;240;N;12;300.0;0
F;C;27;Y;31;12;P;240;N;0;650.0;0
M;S;22;N;31;28;P;24;N;24;318.0;1
F;S;45;N;50;12;P;36;N;0;1000.0;0
F;O;34;Y;31;12;P;120;N;0;650.0;0
F;S;34;Y;31;8;P;408;N;48;1000.0;1
F;S;26;N;50;25;A;48;Y;12;200.0;0
F;S;20;Y;31;3;P;120;N;36;200.0;1
F;S;19;Y;31;18;P;228;N;0;300.0;1
F;O;44;Y;31;8;O;12;Y;216;1400.0;0
M;S;51;Y;31;12;A;48;N;60;1058.0;0
F;S;39;N;50;12;P;48;N;84;199.0;0
F;S;22;Y;31;25;P;264;Y;12;446.0;0
F;S;37;N;50;12;P;396;N;120;531.0;0
F;S;27;Y;31;23;P;60;Y;12;240.0;1
M;C;37;Y;31;28;P;240;N;192;700.0;1
F;D;51;Y;31;1;P;96;N;48;219.0;0
M;S;20;N;50;20;P;84;Y;0;240.0;1
F;V;60;Y;31;18;P;264;N;240;180.0;0
M;S;18;Y;31;1;P;0;N;0;250.0;1
F;S;22;N;31;18;O;12;Y;12;200.0;0
F;C;34;Y;31;18;P;36;N;0;900.0;0
M;S;36;N;50;25;C;216;Y;0;360.0;0
F;O;44;Y;31;12;P;240;Y;180;959.0;0
F;S;25;Y;31;8;P;300;N;12;180.0;1
F;S;33;Y;50;12;P;0;N;324;894.0;1
F;S;25;Y;50;8;P;300;N;12;200.0;0
M;S;20;Y;31;8;P;120;N;12;600.0;0
F;S;21;Y;31;8;C;240;Y;12;255.0;0
F;V;66;N;31;20;P;444;N;360;540.0;0
F;S;57;N;31;8;A;12;Y;60;360.0;0
F;S;26;Y;31;12;P;252;Y;12;289.0;1
F;C;56;Y;31;8;P;0;N;0;1200.0;0
F;C;27;N;50;12;P;48;Y;0;700.0;1
F;S;39;Y;31;25;P;240;N;12;200.0;1
F;S;23;Y;50;23;C;276;Y;24;400.0;0
F;D;49;N;31;18;P;480;N;12;370.0;0
F;C;40;N;50;8;P;96;N;48;990.0;0
F;S;18;Y;31;20;C;120;N;0;400.0;0
M;S;23;Y;50;12;C;276;N;24;274.0;1
F;C;33;N;50;12;P;72;N;72;800.0;0
F;S;24;Y;31;28;C;24;N;0;1000.0;1
F;C;46;Y;31;18;P;216;Y;72;278.0;0
F;C;36;Y;31;18;A;12;Y;72;409.0;0
M;S;24;Y;31;12;P;36;N;0;319.0;0
M;C;28;Y;31;16;P;72;Y;12;547.0;0
M;S;49;Y;31;12;P;84;N;144;540.0;0
F;S;26;Y;31;18;C;240;N;12;600.0;0
M;C;22;N;50;28;P;12;Y;48;215.0;0
M;S;24;Y;31;25;P;300;Y;36;1173.0;0
M;S;18;Y;31;23;P;120;N;12;180.0;0
F;C;34;Y;31;23;P;12;Y;36;600.0;0
F;S;51;Y;31;12;A;48;Y;252;924.0;0
F;S;18;Y;5;12;C;216;N;0;280.0;0
F;C;43;Y;5;12;P;180;N;12;180.0;0
M;S;20;Y;50;28;P;12;Y;12;300.0;1
M;S;22;N;5;12;P;12;Y;12;224.0;0
M;C;62;Y;31;12;P;72;N;108;613.0;1
F;S;20;Y;50;18;P;240;N;36;300.0;1
F;V;34;Y;31;8;P;96;Y;12;470.0;0
M;O;45;Y;31;28;O;12;Y;12;500.0;0
F;S;20;Y;31;16;P;48;N;12;180.0;1
F;O;65;Y;50;18;A;180;N;144;1200.0;0
M;C;34;Y;31;8;P;84;Y;24;477.0;0
M;S;32;Y;31;8;P;24;N;12;1000.0;1
F;S;23;Y;31;12;P;252;N;0;1000.0;0
M;C;35;Y;31;25;P;420;Y;12;720.37;0
F;C;32;N;31;12;A;48;N;36;631.0;0
M;S;25;Y;31;28;P;180;Y;12;200.0;1
F;S;42;Y;31;12;P;240;N;36;500.0;0
F;S;24;Y;31;27;C;216;N;12;180.0;0
F;S;34;Y;50;8;P;360;Y;48;201.0;0
F;S;62;Y;5;18;P;420;N;0;317.0;0
F;C;30;Y;31;20;P;12;N;12;302.0;0
F;S;30;N;31;8;P;348;Y;0;405.0;0
F;S;38;Y;31;23;P;180;Y;60;265.0;0
F;C;46;Y;31;25;P;180;N;36;180.0;0
F;C;45;N;50;12;P;36;Y;12;180.0;0
F;C;39;Y;31;8;P;120;Y;204;730.0;0
F;D;51;Y;31;12;P;180;N;264;847.0;0
F;V;59;Y;23;12;P;156;N;180;800.0;0
F;C;42;Y;31;12;P;144;Y;24;800.0;0
F;D;48;Y;31;12;P;276;N;12;801.0;0
F;S;23;Y;5;8;P;276;Y;84;500.0;0
F;C;30;Y;31;8;A;48;Y;24;787.0;0
F;C;46;N;50;18;A;12;N;12;300.0;0
M;C;51;Y;31;12;P;156;N;120;780.0;0
F;S;27;Y;50;8;P;120;N;24;300.0;0
F;S;19;Y;31;18;P;180;Y;36;240.0;0
F;S;40;Y;31;12;P;12;N;36;250.0;0
F;C;48;Y;31;20;P;264;N;36;258.0;0
F;D;51;Y;31;18;P;240;N;120;679.0;0
F;S;24;Y;50;12;P;36;Y;0;260.0;1
F;O;37;Y;31;18;P;120;N;0;580.0;0
F;V;46;Y;31;12;P;288;Y;48;201.0;0
F;C;53;N;31;23;P;48;N;24;510.0;0
F;C;35;Y;50;18;P;48;Y;12;500.0;0
M;D;33;Y;31;18;P;408;Y;96;1350.0;0
F;C;43;Y;31;28;P;204;Y;12;200.0;0
M;C;37;Y;31;12;P;240;N;12;1200.0;0
F;S;24;N;50;25;P;288;N;24;200.0;0
F;S;19;Y;31;23;C;120;Y;36;600.0;1
F;S;36;Y;50;28;P;420;N;0;355.0;1
M;S;18;Y;50;3;P;132;N;0;450.0;0
F;C;24;Y;31;18;P;36;N;96;314.0;0
M;O;41;Y;31;25;P;84;N;12;1200.0;1
F;C;28;Y;31;12;P;156;N;24;450.0;0
F;C;29;Y;31;12;P;24;Y;48;398.0;1
F;C;28;Y;31;20;P;108;Y;12;520.0;1
M;O;22;Y;31;8;P;264;Y;0;250.0;1
F;C;29;Y;31;18;P;204;Y;24;549.0;0
M;C;35;Y;31;12;P;240;Y;156;738.0;0
F;S;24;Y;31;20;C;288;Y;24;305.0;0
M;S;18;Y;31;25;P;12;Y;12;200.0;1
F;S;19;Y;31;28;C;132;Y;36;600.0;1
F;C;53;Y;31;8;P;24;N;120;400.0;0
F;S;43;Y;31;8;P;480;N;12;300.0;0
M;S;25;Y;5;28;P;144;N;0;200.0;0
F;C;27;N;50;12;P;84;N;48;350.0;0
F;C;25;Y;50;18;P;276;N;60;180.0;0
F;C;42;Y;31;12;P;240;Y;228;464.0;0
F;S;45;Y;31;18;P;0;Y;60;1058.0;0
F;S;24;Y;31;28;P;276;N;24;600.0;1
F;S;18;Y;31;25;P;12;N;0;300.0;1
M;S;24;Y;50;23;P;84;Y;48;585.0;0
F;V;56;Y;31;12;P;276;N;12;800.0;0
F;C;39;N;31;12;O;0;N;168;1000.0;0
F;O;39;Y;31;16;P;48;N;120;350.0;0
F;S;19;N;50;28;A;12;N;12;200.0;0
F;S;34;Y;31;25;P;408;Y;0;185.0;0
M;S;22;Y;31;8;P;264;Y;12;200.0;0
F;C;43;Y;31;18;P;168;Y;24;500.0;0
F;S;21;Y;31;25;C;252;Y;24;346.0;1
F;C;53;Y;31;8;P;516;N;0;751.0;0
F;C;49;Y;5;20;P;240;N;12;10.0;0
F;D;49;Y;31;12;P;48;Y;48;510.0;0
M;O;36;Y;31;3;A;0;N;192;920.0;0
F;S;19;Y;31;25;P;228;N;60;480.0;1
F;S;44;Y;50;20;P;240;Y;24;404.0;0
F;O;26;Y;31;25;P;108;Y;12;516.0;0
M;C;42;N;50;12;P;48;Y;144;938.0;0
M;S;19;Y;31;28;P;48;Y;12;525.0;0
F;S;19;Y;5;12;P;216;N;12;180.0;0
M;S;34;N;50;8;P;0;N;204;960.0;0
M;C;37;Y;31;12;P;204;Y;24;413.0;0
F;C;27;Y;5;28;P;60;N;60;180.0;0
M;C;39;Y;31;8;P;72;Y;84;900.0;0
F;S;27;Y;31;12;P;324;Y;48;600.0;0
M;C;39;Y;31;12;P;60;Y;24;680.0;0
F;S;45;N;50;20;P;360;Y;36;460.0;1
F;C;53;Y;31;8;O;108;Y;120;600.0;0
M;C;32;N;50;20;P;60;Y;60;234.0;0
M;D;40;Y;50;12;P;12;N;144;500.0;0
M;S;22;N;50;25;O;120;Y;12;193.0;1
F;S;19;Y;50;18;P;120;N;12;350.0;0
M;C;42;Y;5;12;P;36;N;0;776.0;0
F;S;19;Y;50;8;C;180;N;0;500.0;0
M;S;22;Y;50;12;P;264;N;12;656.0;0
M;S;18;Y;31;12;P;216;Y;12;550.0;0
M;S;20;Y;31;1;P;120;N;0;0.0;0
F;S;23;N;31;12;P;132;Y;12;233.0;1
M;C;45;N;50;18;P;204;Y;84;460.0;0
F;C;42;Y;31;25;P;12;Y;48;405.0;0
F;S;36;Y;31;1;P;120;Y;12;187.0;0
F;C;17;Y;50;18;P;60;Y;12;220.0;1
F;S;22;Y;31;8;P;264;Y;12;400.0;0
M;S;21;N;50;28;A;60;Y;0;180.0;0
M;S;21;Y;31;18;P;252;N;24;230.0;0
F;S;19;Y;31;28;P;228;N;0;500.0;1
F;S;23;N;50;20;P;0;Y;0;226.0;0
F;S;19;Y;31;18;P;156;Y;12;0.0;0
F;C;22;Y;31;18;P;300;N;0;300.0;0
F;O;29;Y;31;25;P;36;N;12;600.0;0
M;C;35;Y;31;12;P;264;N;144;1200.0;0
F;S;19;Y;31;22;A;24;N;36;200.0;0
F;S;23;N;50;12;P;240;Y;24;230.0;0
F;S;27;Y;31;12;P;360;N;72;1200.0;0
M;C;54;Y;50;28;P;300;N;60;347.0;0
M;S;19;Y;31;8;P;228;Y;12;400.0;0
F;C;49;N;50;12;P;192;N;144;640.0;0
M;C;69;Y;31;18;P;360;Y;468;963.0;0
M;O;27;N;31;8;A;12;Y;12;347.0;0
F;S;33;N;50;12;P;96;Y;36;409.0;0
M;S;21;N;31;18;C;84;Y;0;180.0;1
M;S;20;N;50;12;P;144;N;12;280.0;0
M;S;51;N;50;28;P;240;N;192;680.0;0
M;S;22;N;50;3;P;36;Y;36;320.0;0
F;S;36;Y;31;11;P;216;Y;24;450.0;0
F;S;37;Y;31;1;P;168;Y;72;304.0;0
M;C;24;Y;31;1;P;12;N;48;390.0;0
F;S;38;Y;31;12;P;456;N;24;300.0;0
M;O;29;Y;31;18;P;240;N;36;193.0;0
F;S;26;Y;31;20;P;312;N;0;500.0;0
F;S;38;Y;31;12;P;444;Y;60;200.0;0
F;C;53;Y;31;12;P;24;N;48;576.0;0
M;C;59;Y;31;18;P;348;N;120;772.0;0
F;C;43;Y;31;12;P;36;N;12;517.0;0
F;O;52;Y;31;18;P;216;N;60;1428.0;0
F;C;56;Y;50;12;P;300;N;120;300.0;0
F;D;33;Y;31;12;O;120;Y;12;300.0;0
M;S;24;Y;31;20;P;144;Y;36;647.0;1
M;C;30;Y;31;8;O;96;Y;96;1250.0;0
M;S;39;Y;31;12;P;132;Y;264;904.0;0
F;S;21;Y;5;28;C;12;Y;36;368.0;0
F;S;21;Y;50;3;C;120;Y;12;352.0;0
F;C;26;Y;31;12;P;72;Y;12;280.0;0
M;C;38;Y;31;18;P;12;N;0;0.0;1
M;C;40;Y;31;25;A;12;N;216;1200.0;1
M;C;34;Y;5;28;P;60;Y;120;180.0;0
F;S;29;Y;31;18;P;96;N;12;180.0;0
M;S;27;Y;31;20;P;60;Y;96;1000.0;1
F;C;38;Y;31;8;P;96;Y;156;390.0;0
F;D;41;Y;31;28;O;492;Y;24;286.0;0
F;S;47;Y;31;8;P;420;Y;96;450.0;0
M;S;28;N;31;8;A;24;Y;12;527.0;1
F;V;66;N;50;18;P;432;N;0;180.0;0
M;S;19;N;31;27;P;228;N;48;550.0;1
F;S;38;Y;31;8;P;36;N;0;600.0;0
M;C;29;Y;31;12;P;264;Y;12;850.0;1
F;C;31;N;31;12;P;48;Y;24;1425.0;1
F;S;19;Y;31;20;C;228;N;12;479.0;0
F;C;22;Y;31;12;P;24;N;0;600.0;0
F;C;41;Y;31;3;P;60;Y;24;266.0;0
F;S;31;Y;31;12;P;240;Y;24;240.0;0
M;S;32;Y;31;20;P;240;N;36;705.0;1
